Заголовок,Время публикации,Описание,Ссылка
Ancient DNA reveals Phoenicians’ surprising genetic ancestry,23 APR 2025,"A death mask from the third or second century BC found in the Phoenician trading city of Carthage in what is now Tunisia.Credit: Peter Horree/Alamy
An ancient Middle Eastern civilization that developed an early alphabet spread its culture far and wide — but not its DNA, finds a 23 April Nature study1 of hundreds of ancient human genomes.
Phoenician civilization emerged more than 3,000 years ago, centred around what is now Lebanon, before expanding across the Mediterranean Sea. Middle Eastern Phoenician city-states eventually fell to other groups, but the culture thrived farther west — most notably in Carthage, in what is now Tunisia, until its destruction in 146 BC.
From Vikings to Beethoven: what your DNA says about your ancient relatives
Phoenician city-states shared languages — recorded with an alphabet that was a precursor to Greek and Latin letters — religious practices and maritime trading economies. Many researchers have presumed that their inhabitants also shared ancestries connected to the culture’s Middle Eastern origins.
To study this history, population geneticist Harald Ringbauer at the Max Planck Institute for Evolutionary Anthropology in Leipzig, Germany, and his colleagues analysed the DNA from the remains of around 200 people from Phoenician archaeological sites in the Middle East, Europe and North Africa.
Ancestry puzzle
To Ringbauer’s surprise, people from Mediterranean outposts of Phoenician culture — also known as Punic people — shared no ancestry with ancient Middle Easterners, even those from sites linked to Phoenicians and their forebears the Canaanites.
But neither did Punic people’s genomes always resemble those of people from other local populations, such as those in Sardinia and Ibiza. Instead, Punic people shared an ancestry profile resembling those of ancient inhabitants of Greece and Sicily. Over time, North African ancestry entered the mix — reflecting the rise of Carthage after 500 BC.",https://www.nature.com/articles/d41586-025-01283-w
Inside the quest to digitally unroll ancient scrolls burnt by Vesuvius,23 APR 2025,"A Herculaneum scroll, burnt and encased in volcanic material, on display at the National Library in Naples.Credit: Salvatore Laporta/AP via Alamy
On 27 March, a private jet arrived at London Luton Airport with some unusual, delicate cargo. Rather than designer luggage, the plane carried 18 ancient scrolls from the Vittorio Emanuele III National Library in Naples, Italy. The tightly rolled papyri were being transported to the Diamond Light Source particle accelerator near Oxford, where researchers used the synchrotron’s powerful X-rays to reveal the scrolls’ contents.
How AI is unlocking ancient texts — and could rewrite history
The mission is part of a huge scaling up of efforts to decipher the ‘Herculaneum scrolls’, burnt and buried in the eruption of Mount Vesuvius in AD 79, after text inside one of them was successfully deciphered using artificial intelligence (AI) last year. “It’s like a dream” to have reached this point, says Brent Seales, a computer scientist at the University of Kentucky in Lexington, who has been working to read the scrolls for 20 years. “It seems so impossible and yet we’re doing it.”
A first look at the newest scans reveals that at least five of the scrolls show what look like clear signs of visible ink, researchers tell Nature. That’s “very promising”, says Stephen Parsons, a computer scientist at the University of Kentucky who is also involved with efforts to read the scrolls. It means that the scrolls could be easier to read than previously thought, he adds. Meanwhile, a papyrus at the Bodleian Libraries at the University of Oxford, scanned last year, is yielding unprecedented amounts of data, and dozens more scrolls are due to be scanned in France next month.
Buried treasure
More than 1,800 carbonized papyri were discovered in the eighteenth century among the remains of a luxurious Roman villa at Herculaneum, near Naples. Although many were torn to pieces by various efforts to open them, several hundred intact scrolls remain. They offer an unprecedented cache of ancient knowledge, potentially containing completely unknown texts direct from the pens of their Greek and Roman authors. “Everything we find is a surprise,” says Federica Nicolardi, a papyrologist at the University of Naples Federico II, who accompanied the most recently scanned scrolls on their journey from Italy to Diamond.
A scroll in its 3D-printed protective case is prepared for scanning at the Diamond Light Source particle accelerator.Credit: Emli Bendixen for Nature
The trip was part of the Vesuvius Challenge, a competition that Seales set up in 2023 with Silicon Valley entrepreneur Nat Friedman, to encourage efforts to decipher computed tomography (CT) scans of the unopened Herculaneum scrolls. In February last year, the challenge — for which Parsons is project lead — awarded US$700,000 to a team of students who developed an AI tool that revealed the first paragraphs of a scroll, a Greek philosophical text about music and pleasure possibly written by the philosopher Philodemus.
The focus of the Vesuvius Challenge is now to optimize and automate the techniques, says Seales, and ultimately to scan and read all of the surviving scrolls.
Scaling up
Until now, only five of the scrolls had been imaged at high resolution, so an important first step was to gather more scans. Nicolardi selected the 18 papyri for this phase, prioritizing intact scrolls that might contain complete texts, as well as scrolls with a range of shapes — some are flattened, others compressed along their length like a spring — to test how the machine-learning algorithms cope with different patterns of distortion.
Diamond is one of the few facilities that can produce X-rays to scan these scrolls at sufficiently high resolution. But transporting each fragile piece is challenging. “It’s like papier mâché made out of glass,” says Seales. “If you dropped it, it would probably shatter.” Researchers in Naples modelled the external shapes of the scrolls using photogrammetry, then 3D-printed customized travel cases to snugly fit each one.
The scrolls were scanned inside their protective cases in late March, using an X-ray beam of 53 keV to give a resolution of 8 micrometres. In a control room nearby, the cross-section of the papyrus showed up on the computer screen as a complex spiral, thin as silk, glowing white against a dark background.
A freshly scanned scroll, seen from the control room. The cross section on the right hand side of the screen reveals a complex spiral of rolled-up papyrus. Credit: Emli Bendixen for Nature
Each scroll is scanned in dozens of chunks, and the data are recombined into a single data set. The next step is mapping the surface of the wound-up papyrus across all the CT slices so it can be virtually unrolled into a flat image. Initially, this was done painstakingly by hand, taking months, so a major focus of the Vesuvius Challenge is to automate this process. That has proved difficult, especially where different layers of a scroll are squashed tightly together. An innovation in the past few months has been to use imaging tools, originally developed to trace the connections between neurons, to map the horizontal and vertical fibres in the papyrus. “We’re getting really good at finding the fibres,” says Friedman. “From there, it’s much easier to find the surfaces.” By combining this technique with other improvements, “we’re seeing better and better results every week”.
Invisible ink",https://www.nature.com/articles/d41586-025-01087-y
Century-old genetics mystery of Mendel’s peas finally solved,23 APR 2025,"Gregor Mendel cross-bred some 28,000 garden pea plants (Pisum sativum) and studied traits such as their flower colour to make discoveries about genetic inheritance.Credit: imageBROKER/Alamy
The Augustinian friar Gregor Mendel completed his groundbreaking work on genetic inheritance more than 160 years ago, after carefully studying seven traits in peas, including the shape and colour of their seeds and pods. Yet until now, scientists still hadn’t worked out which genes drive three of those traits in the garden pea (Pisum sativum).
In a paper published on 23 April in Nature1, researchers add a fresh chapter to Mendel’s pivotal story, perhaps in the process launching a new era in the genomic study of peas, which are a popular source of plant-based protein.
Scientists published a reference genome for P. sativum in 20192. That digital sequence — a representation of the plant’s DNA — “was a huge breakthrough”, says Clare Coyne, an adjunct plant geneticist at Washington State University in Pullman. “But I would say [the latest study] is an even larger breakthrough. It’s really just an incredible effort.”
Modern tools meet age-old mystery
Mendel, a citizen scientist, famously performed a series of experiments in the mid-nineteenth century in which he cross-bred some 28,000 pea plants to understand how their traits were inherited by future generations. Although at that stage the concept of genes didn’t exist, Mendel concluded that plants were passing along hereditary ‘factors’ to offspring that determined whether they inherited what turned out to be ‘dominant’ or ‘recessive’ versions of genes known as alleles. Scientists continue to study such Mendelian traits today, and have identified thousands of them in humans. However, many of these traits have yet to be linked to a particular gene — and the same had been true of three of Mendel’s original seven pea traits.
Mendel, a friar, is recognized today as the founder of genetics.Credit: Pictorial Press/Alamy
Noam Chayut, an applied crop geneticist at the John Innes Centre (JIC) in Norwich, UK, and a co-author of the current paper, says he and the other team members were intrigued by the enduring mystery and decided that “sequencing and computational tools had advanced enough to tackle the final three” genes. Using the JIC’s Germplasm Resource Unit — which houses more than 3,500 pea variants, alongside publicly available genomic data sets — the group amassed and deep sequenced nearly 700 pea genomes. These contained roughly 155 million single-nucleotide polymorphisms (SNPs) — single base-pair differences in the DNA sequences compared with the standard, or ‘reference’, P. sativum genome.
Using several methods, including selective breeding of pea plants and genome-wide association studies, which probe each genome for differences in the number and location of SNPs, the group identified the genes linked to the three remaining traits. Specifically, the researchers found that pea-pod colour is controlled by a gene that disrupts chlorophyll biosynthesis, leading to either green or yellow pods. They also identified two genes that probably help to control pod shape by inducing disruption of cell-wall thickening in the plant. And they determined that a deletion in the genetic code at a particular point in another gene can cause changes in the branching or clustering of flowers on the plants — a process known as fasciation.
A long road
Pulling together several methods meant that the work took six years to complete, and Chayut says it was possible only because of the interdisciplinary nature of the team, with each member bringing a necessary skill to the partnership. “The most important and beautiful part of this research is the collaboration,” he says.",https://www.nature.com/articles/d41586-025-01269-8
"‘Dark matter’, 'Big Bang' and ‘spin’: how physics terms can confuse researchers",22 APR 2025,,https://www.nature.com/articles/d41586-025-01089-w
Brand-new colour created by tricking human eyes with laser,18 APR 2025,"Researchers used lasers to stimulate individual cone cells in the retina — leading to the perception of a completely new colour.Credit: George Pachantouris/Getty
Five people have been able to perceive a colour never before seen by human eyes, after researchers used lasers and tracking technology to selectively activate certain cells in their retinas. The blue-greenish hue has an intensity, or ‘saturation’, outside the natural range of colours seen by humans.
The work is “amazing technically” and an “extraordinary achievement”, says Kimberly Jameson, a colour-vision scientist at the University of California, Irvine.
This is not the first time researchers have stimulated individual cone cells — the photoreceptors in the eye whose signals the brain interprets as colour. But this time it was done across an area large enough to alter a person’s vision substantially. “What is novel in this study is the evidence that such new colours can, in fact, be perceived,” says Sérgio Nascimento, a physicist specializing in human vision at the University of Minho in Braga, Portugal.
Off-the-charts intense
The researchers, who published details of the technique in Science Advances on 18 April1, call the otherwise imperceptible colour ‘olo’. It is something like a peacock blue or teal, “but the level of saturation is off-the-charts”, says Ren Ng, a computer scientist and vision researcher at the University of California, Berkeley, who was both a co-author of the study and one of the test participants.
The method — dubbed Oz and run by software called Wizard — works by controlling the precise doses of light delivered to each cell in the retina, to spoof the signals the brain uses to interpret colour or to create signals it has never experienced before.
Ng says the technique has the potential to create other new colours. It could also allow people with colour blindness, for which there are no effective treatments, to perceive differences in hue that they would not otherwise, he says.
That would take a lot of work. So far, the team can carefully control colour in just a small area of vision — roughly twice the diameter that the Moon appears to cover in the sky — and the method requires technology available to very few labs. But, even if it doesn’t end up being applied widely, the research is “an impressive technical accomplishment”, says Jenny Bosten, a visual neuroscientist at the University of Sussex in Brighton, UK. “There is a lot of potential for future research using the technique.”
Fingerprints of light
Human colour vision comes from the brain comparing the signals it receives from three types of light-detecting cone cell. Each one is sensitive to a different but overlapping range of wavelengths. At shorter, bluer wavelengths, the S cone is most responsive, whereas the M, or medium, cone is activated most by greenish light. The L cone is more sensitive than the others to longer-wavelength red light. Every colour that humans can see comes to the brain as a characteristic level of activation of these three cell types, analogous to a fingerprint or set of coordinates.
Because the M cone is in the middle of the spectrum, light activating it always activates neighbouring S or L cones, as well. Ng and his colleagues wondered whether, if the M cone was stimulated by itself, it would create a new colour.
The team first mapped the retinas of each trial participant, marking the position and type of each cell, using a technique developed by co-authors at the University of Washington in Seattle2. This allowed them to track each person’s eye movements and train laser light on individual cone cells.
They then stimulated just the M cones with microdoses of laser light. To test what the participants were seeing, the team asked them to match the colour they perceived with examples of light of a single wavelength. There was no match — the olo colour seemed to be more intense than even the most vibrant blue-green colour possible in normal vision. Participants had to ‘wash out’ the olo colour by adding white light to make it match the closest natural colour, says Ng.",https://www.nature.com/articles/d41586-025-01252-3
"Signs of life on a distant planet? Not so fast, say these astronomers",17 APR 2025,"An artist’s impression of K2-18 b. Researchers report finding a signature of life’s activity in the planet’s atmosphere.Credit: ESA/Hubble, M. Kornmesser
A team of astronomers made worldwide headlines last night with claims that they had found the “strongest hints yet of biological activity outside the Solar System”. The scientists say that a distant planet called K2-18 b has one or more molecules in its atmosphere that might have been generated by living things1.
The announcement has been met with floods of scepticism from other researchers who study such ‘biosignatures’ in exoplanet atmospheres.
“It is not strong evidence,” says Stephen Schmidt, an astronomer at Johns Hopkins University in Baltimore, Maryland. “It’s almost certainly not life,” says Tessa Fisher, an astrobiologist at the University of Arizona in Tucson.
Here, Nature explores the high-profile claim — and why many scientists say it’s far from proof of alien life.
What has been found?
Using the James Webb Space Telescope (JWST), the team, led by scientists at the University of Cambridge, UK, reported finding hints of the molecule dimethyl sulfide (DMS), a pungent compound that can be produced by bacteria, in the atmosphere of K2-18 b, a planet smaller than Neptune that lies about 38 parsecs from Earth. The scientists detected the molecule by analysing starlight as it filtered through the planet’s atmosphere; different chemicals leave identifying imprints in the light’s spectrum. The data also suggest that the related molecule dimethyl disulfide (DMDS) might be present, either in addition to or instead of DMS1. These chemicals are intriguing because, on Earth, they are produced by living organisms such as marine phytoplankton.
In 2023, the researchers reported similar findings2. In the follow-up work, the scientists conducted a search using a different set of wavelengths and found a stronger and cleaner signal that the molecules are present, they say.
Teasing out the detailed chemistry of a faraway planet is a technical tour de force, the team says. “What we are seeing is a major paradigm shift in the field of exoplanet science,” said team leader Nikku Madhusudhan, an astronomer at the University of Cambridge, in a livestreamed colloquium on 17 April. He did not respond to a request for an interview before this article was published.
Why is it important?
Scientists have been looking for life beyond Earth for centuries. If DMS and DMDS do exist in the planet’s atmosphere, and if they were formed by biological activity, the findings would be groundbreaking.
The work also marks a step towards understanding planets similar to K2-18 b, which are some of the most common of the more than 5,800 planets that have so far been identified throughout the Universe. They are referred to as mini-Neptunes on the basis of their mass, beyond which little is known about their make-up. Some researchers, including Madhusudhan’s team, say that some could be exotic water worlds cloaked in hydrogen atmospheres3. If so, they could be some of the best places to look for extraterrestrial life.
Why are other researchers sceptical?
For starters, there are questions about whether K2-18 b even has water — or a surface that could support life. Modelling studies of it and similar planets suggest that they are probably barren4,5. “A lifeless mini-Neptune scenario remains the most parsimonious explanation,” says Joshua Krissansen-Totton, a planetary scientist at the University of Washington in Seattle.
Then there’s the issue of whether DMS or DMDS is actually present, or whether the signal is spurious. The measurement reported by the Cambridge team is “really pushing the limit of what JWST can do”, says Laura Kreidberg, an astronomer at the Max Planck Institute for Astronomy in Heidelberg, Germany.
Schmidt and his colleagues this year re-analysed the 2023 claim from the Cambridge team and found no evidence of biosignature molecules in the data6. Schmidt says that the new observations are “pretty noisy, and any reported features could still just be statistical fluctuations”. The Cambridge researchers, however, say that there is just a 0.3% probability that the signal is due to chance.",https://www.nature.com/articles/d41586-025-01264-z
Exclusive: Trump team freezes new NSF awards — and could soon axe hundreds of grants,17 APR 2025,"Update: On the afternoon of 18 April, the NSF announced it would begin terminating active research grants. These grants contain language related to diversity, equity and inclusion (DEI) and had been flagged in an initial review ordered by the Trump administration. In an update to agency priorities, NSF director Sethuraman Panchanathan wrote that efforts to broaden participation in research “should not preference some groups at the expense of others”.
All new research grants have been frozen at the US National Science Foundation (NSF) — an action apparently ordered by the Department of Government Efficiency (DOGE), an initiative by billionaire entrepreneur Elon Musk to cut spending and workers across the US government.
DOGE is also reviewing a list of active research grants, assessed in February by the NSF, for terms associated with DEI. It is considering terminating more than 200 of them, NSF staff members have told Nature.
NSF slashes prestigious PhD fellowship awards by half
On Monday, three DOGE members arrived at the NSF headquarters in Alexandria, Virginia. NSF employees say that DOGE has directed hundreds of research proposals — previously approved through a multi-step review process, but not yet finalized — to be sent back to NSF programme officers, who have been told to perform unspecified “mitigation work”. Science first reported the arrival of DOGE at the NSF this week.
With a budget of US$9 billion, the NSF is one of the largest funders of basic research in the world. From the start of Donald Trump’s second US presidency, the agency has gone through whiplash-inducing changes: it froze all grant payments and then unfroze them in February following court orders; it fired its probationary employees in February and weeks later rehired half of them. And earlier this month, the agency halved its graduate research fellowship programme, offering only 1,000 positions instead of the usual 2,000.
The NSF has been under heightened scrutiny by Ted Cruz, a Republican senator from Texas who now chairs the US Senate Committee on Commerce, Science, and Transportation. In October 2024, Cruz released a report alleging that 3,483 grants awarded between January 2021 and April 2024 by the NSF during the administration of Trump’s predecessor, Joe Biden, “went to questionable projects that promoted diversity, equity, and inclusion (DEI) tenets”, amounting to $2 billion. Today, Democrats in the US House of Representatives Committee on Science, Space, and Technology released an analysis of the report. The analysis claims that the report has major flaws, suggesting that it “jeopardizes the economic and national security of the United States” by “undermining the important work of scientific researchers, educators, and institutions”.
A spokesperson for the NSF says it “continues to issue awards” and declined to answer Nature’s questions. Kush Desai, a spokesperson for the White House, says that “the Trump administration is committed to ensuring that federal research spending is in line with the priorities of everyday Americans”. Cruz’s office did not respond to Nature’s requests for comment by the time this article was published.
To better understand the situation at the NSF, Nature spoke to five staff members, who were granted anonymity because they are not authorized to speak to the press.
DOGE arrives
As DOGE visited other US agencies over the past two months — in some cases dismantling them entirely — NSF staffers held their collective breath.
‘Totally broken’: how Trump 2.0 has paralysed work at US science agencies
But on Wednesday, DOGE turned its attention to the NSF’s grants, the focus of the agency’s mission. Documents seen by Nature show that two members of DOGE, Luke Farritor and Zachary Terrell, have accessed grant-management systems to prevent funding for approved grants that were awaiting finalization. “That, of course, raises the hairs on the back of our neck in a worrisome way,” an NSF programme officer says.
Research projects at the NSF go through several steps before approval. Proposals are first submitted to NSF programme officers with expertise in the relevant scientific field. If the proposals pass muster, the officers then commission a review from independent specialists outside the agency. Only the strongest applications pass this step — the typical success rate is between 20% and 30%. Division directors at the NSF then give the ultimate approval, and grants are finalized by the Division of Grants and Agreements. This is where grants are currently being sent back from.
Proposals that receive final approval are essentially always funded — until now, the employees say. Before DOGE’s arrival, new research awards at the agency had slowed by half relative to last year, Science has reported. On 16 April, they stopped completely.",https://www.nature.com/articles/d41586-025-01263-0
‘Totally broken’: how Trump 2.0 has paralysed work at US science agencies,17 APR 2025,"During the week of 1 April, workers at the US Department of Health and Human Services waited in line to access their offices as mass lay-offs began.Credit: Kevin Lamarque/Reuters
As the administration of President Donald Trump continues its campaign to reshape the US government with spending cuts and mass lay-offs, some scientists still employed at government agencies say that their work has become impossible.
The US National Institutes of Health (NIH), a massive biomedical-research funder that also employs thousands of scientists at its own laboratories, is “totally broken and non-functional right now”, according to a principal investigator at the NIH who asked for anonymity because they are not authorized to speak to the press. “We can’t hire people. We can’t recruit people. We can’t talk to people on the outside. We cannot travel,” they say.
How Trump is following Project 2025’s radical roadmap to defund science
Other government scientists, who Nature granted anonymity for similar reasons, say that they can’t afford publication fees or the supplies they need to process lab samples.
At the US National Oceanic and Atmospheric Administration (NOAA) — which monitors Earth’s oceans and atmosphere and provides weather forecasting services — some scientists cannot do fieldwork because many of the contractors they have historically worked with have been furloughed.
Meanwhile, the US Department of Government Efficiency, effectively run by billionaire Elon Musk — a Trump adviser — has been sowing fear among federal workers with its visits to various agencies, threatening possible workforce cuts and more.
Federal science policy “wasn’t perfect”, and some reforms would have been welcomed before Trump took office, the NIH principal investigator says. But now the administration is “tearing everything down … in a way that seems motivated to enrich the people who are doing it, rather than actually making the government work better”, they say.
The White House did not respond to a request for comment. NOAA and the Department of Health and Human Services (HHS), which oversees the NIH, also did not respond.
Short on supplies
In February, the Trump administration began to put a spending limit of US$1.00 on nearly all government credit cards. The effect has been disastrous at science agencies, researchers say. NIH labs haven’t been able to purchase essential items: gloves, pipettes, paper towels, Petri dishes, reagents, fluorescent dyes and storage vials. One lab has run out of a chemical needed to freeze brains from organ donors for storage and processing. The news website STAT reported last week that some purchasing restrictions will be lifted at the NIH, but the HHS did not respond to Nature’s request to confirm the change.
Clinical trials run by the NIH have been affected, too. One agency lab that analyses blood samples for more than 200 trials — studying cancer treatments, organ transplants and more — lost half of its staff during lay-offs. On busy days, the lab’s workers cannot process samples quickly enough and must borrow colleagues from other groups to help, a lab member says.
Demonstrators protested over the firing of probationary workers at the US National Oceanic and Atmospheric Administration in Silver Spring, Maryland, in March.Credit: Chip Somodevilla/Getty
The researcher was fired in February as part of an initial sweep of probationary workers — those who have usually been in their positions for less than two years — following directives from the US Office of Personnel and Management (OPM). When a federal judge blocked the firings later that month, saying that the OPM did “not have any authority whatsoever” to do so, probationary staff members were ‘reinstated’, but instead of being allowed to return, some were placed on administrative leave. “I want nothing more than to just be able to go back and do my job,” the researcher says. Although they are happy to be paid again, “I feel kind of helpless sitting here,” they say. “It does feel like, ‘Oh, this is ironic’, that this is actually a waste of taxpayer money”, given the cuts have been justified on the grounds of government efficiency, they add.
The US Supreme Court halted the order to reinstate probationary workers on 8 April. It’s unclear what will happen to the NIH researcher, but NOAA moved last week to fire its reinstated probationary workers — this time, presumably, for good.
Some NOAA workers had already decided that they couldn’t just sit around. Fearing that they would be laid off, one probationary scientist who was fired and then rehired, only to be placed on administrative leave, downloaded work files to their personal computer in late February. They spent several weeks analysing data with former colleagues while awaiting word regarding their employment status. “I’m just doing my research,” the scientist told Nature before they were fired the second time. Their response when asked whether it was legal to work while on administrative leave: “I’m not entirely sure. I’m not a lawyer.”
Off-mission work
Some federal scientists say that the government seems to be deliberately trying to make their work harder. “We are constantly barraged with enormous amounts of, let me be frank, bullshit administrative work,” says an NIH researcher. They say that Trump team officials send requests — such as gathering a list of all contract employees — alongside ultimatums that suggest employees will be fired if they fail to respond within 24 hours. The stream of demands is “strangling many aspects of the function of NIH with red tape”, they say.",https://www.nature.com/articles/d41586-025-01245-2
Invasion of the ‘journal snatchers’: the firms that buy science publications and turn them rogue,17 APR 2025,"Publishers are being offered hundreds of thousands of euros for journals indexed by scholarly databases.Credit: Dave Whitney/Getty
Research-integrity analysts are warning that ‘journal snatchers’ — companies that acquire scholarly journals from reputable publishers — are turning legitimate titles into predatory, low-quality publications with questionable practices.
In an analysis published on the preprint repository Zenodo in January1, researchers identified three dozen journals that have been caught in this predicament after being bought by what they describe as a network of recently established international companies with no track record in the publishing industry. The scholarly database Scopus has removed the titles from its index after an investigation.
“We found at least 36 journals but we think that there may be more,” says study co-author Alberto Martín-Martín, an information scientist at the University of Granada in Spain. Nature was able to reach one of the companies named in the study, Oxbridge Publishing House, which disputes the allegations.
Recent takeover
The titles were previously indexed by databases such as Scopus and Web of Science, and were owned by various institutions, including the Dutch publishing giant Elsevier; the academic publisher Palgrave Macmillan, based in London; Indiana University Northwest, in Gary, Indiana; and the University of São Paulo, in Brazil. They range in discipline from linguistics, psychology and criminology to biology and medicine. (Palgrave Macmillan is owned by Springer Nature, which also publishes Nature. Nature’s news team is independent of its publisher.)
Predatory publishers’ latest scam: bootlegged and rebranded papers
Martín-Martín’s study describes how, in the past few years, these journals were acquired by various companies, including Oxbridge Publishing House — a firm registered in the United Kingdom in September 2022 — another UK-based firm called Open Access Text, JCF Corp in Singapore and Intellectual Edge Consultancy in Malaysia.
According to e-mails evaluated by Martín-Martín and his co-author, Emilio Delgado López-Cózar, also an information scientist at Granada, publishers are being offered hundreds of thousands of euros in exchange for each journal. “For small journals, this is a very attractive offer,” Martín-Martín says.
After acquisition, the analysis found, a common trend appears across the publications: the journals introduce or raise article-processing charges — fees some open-access journals impose for publishing papers — and churn out more studies. Many of these papers are outside the scope of topics covered by the journal before acquisition.
These practices are typically associated with predatory publishing, where questionable publishers cut corners to generate low-quality or fraudulent research papers in exchange for high publication fees.
Ownership question
Most of the companies named in the analysis did not respond to Nature’s requests for comment. David Radhor, relationship manager at Oxbridge Publishing House, says the company is “not a publisher” and does not directly own all of the titles in Martín-Martín’s preprint. (The study claims that Oxbridge has directors in common with some of the other companies, and suggests that it is part of a network of linked firms that are actively acquiring journals.)
Radhor adds that for the journals Oxbridge Publishing House does own, the company “has not been involved in their editorial decision-making” and does not have oversight of the number of papers published, the article-processing charges or the authors who submit manuscripts. Those decisions are made independently by each journal’s editorial board, he says. “Our role is primarily operational, focusing on production and formatting, publishing and distribution, sales and revenue management, marketing and promotion, legal and compliance, and technology and infrastructure.”
How big is science’s fake-paper problem?
Nature also attempted to contact all 36 journals listed in the study. Amjid Iqbal, managing editor of the American Journal of Health Behavior (AJHB) in Los Angeles, California, says his journal increased their publication fees (from US$1,595 to £2,000 according to the study) because of inflation and because its vendors increased their charges. He adds that all editorial decisions are made by the journal’s editorial board. The study claims that payments to AJHB from authors based in the United States, Europe, and the Middle East are handled by Oxbridge Publishing House, but Iqbal says that the journal has no relationship with the company.
Representatives from the International Journal of Medicine and Science of Physical Activity and Sport and ArtsEduca declined to answer questions about their ownership and editorial oversight. The remaining journals did not respond to requests for comment.
In two other cases, researchers contacted by Nature said they had been falsely listed as editors on journal websites.
“One of the problems of these companies is that when they buy journals, they are not very open about this, and in many cases, the journals don’t give any information about this new owner,” Martín-Martín says. “They don’t even display the name of the new owner on the journal website.”",https://www.nature.com/articles/d41586-025-01198-6
25 million deaths: what could happen if the US ends global health funding,17 APR 2025,"Scientists are trying to measure the impact on global health of funding cuts by the US administration. Credit: Luis Tato/AFP via Getty
The United States spent roughly US$12 billion on global health in 2024. Without that yearly spending, roughly 25 million people could die in the next 15 years, according to models that have estimated the impact of such cuts on programmes for tuberculosis, HIV, family planning and maternal and child health.
The United States has long been the largest donor for health initiatives in poor countries, accounting for almost one-quarter of all global health assistance from donors. These investments have contributed to consistent public-health gains for more than a decade. HIV deaths, for example, dropped by 51% globally between 2010 and 2023, and deaths owing to tuberculosis dropped by 23% between 2015 and 2023.
But the administration of US President Donald Trump has cut billions of dollars of spending for global health, including dismantling the US Agency for International Development (USAID) and freezing foreign-aid contributions — some of which has been temporarily restored.
Researchers have been trying to study the potential impact of the funding cuts. John Stover, an infectious-diseases modeller at Avenir Health, a global-health organization in Glastonbury, Connecticut, and his colleagues used mathematical models to estimate health outcomes, should all US funding for global health be cut and not replaced, compared with outcomes if funding provided in 2024 were to continue through to 2040. The results were posted on the preprint server SSRN earlier this month and have not been peer reviewed1.
Source: Stover/Preprints with The Lancet
The researchers “use a combination of robust, well-established and proven mathematical models and analytical approaches to estimate the impact”, says Andrew Vallely, a clinical epidemiologist at the Kirby Institute at the University of New South Wales in Sydney, Australia. “Their findings are devastating to read” and “a wake-up call for all of us working in global health.”
James Trauer, an infectious-disease modeller at Monash University in Melbourne, Australia, adds: “These models are probably as good as we have available at the moment for predicting the direct effects of the funding cuts on these various programmes.”
On 28 March, Marco Rubio, the US secretary of state, said that the government was reorienting its foreign-assistance programmes to align with the country’s priorities. “We are continuing essential life-saving programmes and making strategic investments that strengthen our partners and our own country.”
HIV and AIDS
The researchers modelled the impact of cutting the US President’s Emergency Plan for AIDS Relief (PEPFAR) in the 55 countries it supports, including stopping the delivery of treatments, tests and interventions that prevent transmission. The programme has been affected by funding freezes.
Without PEPFAR, there would be 15 million more deaths from AIDS by 2040 than if the programme continued (see ‘A world without US aid’). More than 60% of those deaths would take place in six African countries, including Mozambique, Nigeria and Uganda. Roughly 14 million extra children would become orphans as a result of those AIDS deaths — a trend that had been expected to decrease over the next 15 years. And 26 million more people could become infected with HIV without PEPFAR.
Source: Stover/Preprints with The Lancet
The impact varies considerably depending on how reliant a country is on US government support, says Stover. In Uganda, for example, 65% of funding for HIV research comes from the United States, he says. Some models estimated the effects of a partial-funding scenario; in this case, continuing funding for treatment alone could avert 97% of the extra deaths and 90% of the extra new HIV infections.
Tuberculosis
The global number of infections of Mycobacterium tuberculosis — the bacterium that causes the world’s deadliest infectious disease — is also expected to ramp up without US aid funding. Researchers looked at the impact of cuts to USAID and US contributions to the Global Fund to Fight AIDS, Tuberculosis and Malaria across 79 low- and middle-income countries — although it is not yet clear by how much US contributions to the fund will shrink in the coming years. These would contribute to 69 million more M. tuberculosis infections and 2 million more deaths by 2040.
These estimates are broadly consistent with other efforts to assess the impact, says Trauer.
“There’s been tremendous progress made in global health over the last couple of decades and we’re at risk of losing a lot of that,” says Katherine Horton, an epidemiologist at the London School of Hygiene & Tropical Medicine, who contributed to the modelling on tuberculosis.",https://www.nature.com/articles/d41586-025-01191-z
What a trove of potato genomes reveals about the humble spud,16 APR 2025,,https://www.nature.com/articles/d41586-025-01247-0
